dataset,field_pattern,field_count,index_range,stored_type_or_unit,role,modality_mapping,qc_or_interpretation
magnetic_shared_MEM_remanence,MEMX-{i},320,0-319,device count,X field,"32 physical columns x 10 circumferential positions; odd 1-based physical columns=remanence; even=MEM","Firmware prefix MEMX does not mean every physical column is MEM; do not assign pipe coordinates without calibration"
magnetic_shared_MEM_remanence,MEMY-{i},320,0-319,device count,Y field,"32 physical columns x 10 circumferential positions; odd 1-based physical columns=remanence; even=MEM","Retain as device Y unless an independent coordinate convention is documented"
magnetic_shared_MEM_remanence,MEMZ-{i},320,0-319,device count,Z field,"32 physical columns x 10 circumferential positions; odd 1-based physical columns=remanence; even=MEM","Used by event/QC and MEM auxiliary features in the frozen 406 pipeline"
magnetic_shared_MEM_remanence,MEMT-{i},320,0-319,degrees C expected,sensor temperature,"same parity split as XYZ","Use as a temperature negative control/QC covariate; verify device calibration"
magnetic_shared_MEM_remanence,Coder-{i},4,0-3,device count,encoder/coder,shared metadata,"Coder-2 is retained by the frozen reader; check continuity and direction"
magnetic_shared_MEM_remanence,IMU-Temper-{i},2,0-1,degrees C expected,IMU temperature,shared metadata,"Negative control/QC; verify sensor documentation"
magnetic_shared_MEM_remanence,IMU-ACC{X|Y|Z}-{i},6,"axis X/Y/Z; IMU 0-1",device export,IMU acceleration,shared metadata,"Motion/contact covariate; not a stress label"
magnetic_shared_MEM_remanence,IMU-GYRO{X|Y|Z}-{i},6,"axis X/Y/Z; IMU 0-1",device export,IMU angular rate,shared metadata,"Motion/orientation covariate; not a stress label"
magnetic_shared_MEM_remanence,IMU-Quat{0|1|2|3}-{i},8,"component 0-3; IMU 0-1",device export,IMU quaternion,shared metadata,"Confirm numeric encoding before orientation reconstruction"
magnetic_shared_MEM_remanence,Ticker-0,1,0,device tick,sample/timing field,shared metadata,"Validate monotonicity/gaps; CSV fragment stem also carries acquisition position/order information"
ETP_eddy_current,Amplitude-{i},20,0-19,device count,eddy-current amplitude,ETP,"Pair with Phase-i; inspect clipping and channel dropouts"
ETP_eddy_current,Phase-{i},20,0-19,radian assumed by frozen code,eddy-current phase,ETP,"Frozen code constructs A*exp(j*Phase); confirm exported phase unit before reuse"
ETP_eddy_current,Coder-{i},4,0-3,device count,encoder/coder,shared ETP metadata,"Coder-2 used for motion/QC in the frozen pipeline"
ETP_eddy_current,IMU-Temper-{i},2,0-1,degrees C expected,IMU temperature,shared ETP metadata,"Negative control/QC"
ETP_eddy_current,IMU-ACC{X|Y|Z}-{i},6,"axis X/Y/Z; IMU 0-1",device export,IMU acceleration,shared ETP metadata,"Motion/contact covariate; not stress truth"
ETP_eddy_current,IMU-GYRO{X|Y|Z}-{i},6,"axis X/Y/Z; IMU 0-1",device export,IMU angular rate,shared ETP metadata,"Motion/orientation covariate; not stress truth"
ETP_eddy_current,IMU-Quat{0|1|2|3}-{i},8,"component 0-3; IMU 0-1",device export,IMU quaternion,shared ETP metadata,"Confirm numeric encoding before orientation reconstruction"
ETP_eddy_current,Ticker-0,1,0,device tick,sample/timing field,shared ETP metadata,"CSV may contain a tolerated trailing empty field after the 67 named fields"
