feature_id,status,allowed_use,claim_limit
MAG-F1-DW-Q90-v1,B_RELATIVE_ORDER_ONLY_SCALE_DRIFT_OR_QC_EXCLUSION,同管相对排序/目标-参考变化,禁止输出本轮绝对MPa
MEM-F4-ZSD-v1,CONDITIONAL_S0_AUXILIARY_SCALE_NOT_QUALIFIED,同周期S0复核,禁止输出本轮绝对MPa
MAG-F2-ARRAY-v1,ARRAY_QC_ONLY,异常列与环向一致性,禁止输出本轮绝对MPa
MAG-F3-SHAPE-v1,SHAPE_QC_ONLY,弯矩形态与漂移竞争诊断,禁止输出本轮绝对MPa
MAG-F5-H1-v1,DIRECTION_AUXILIARY_ONLY,偏心/滚转方向辅助,禁止输出本轮绝对MPa
ETP-E1-CDIFF-v1,QC_ONLY_NOT_STRESS_QUANTITY,候选/QC,禁止输出本轮绝对MPa
ETP-E2-MOMENT-v1,SHAPE_AUXILIARY_ONLY,形态辅助,禁止输出本轮绝对MPa
ETP-EDIRECT-v1,RESEARCH_CANDIDATE_QC_ONLY,候选/QC,禁止输出本轮绝对MPa
ETP-E5/E6-QC,NEGATIVE_CONTROL_QC,焊缝、温漂、提离告警,禁止输出本轮绝对MPa
MULTIMODAL-GATED-v1,DECISION_GATING_NO_NUMERIC_FUSION,模态资格/QC门控；逐阶段冲突评分未实现,禁止输出本轮绝对MPa
